 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 5.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  3.300E+00  8.29092E-04 -3.83026E-10  6.24221E-10 -1.00355E-11  1.63455E-11  3.42721E-13  3.01959E-13
  3.400E+00  8.80086E-04 -3.73327E-10  5.81166E-10 -1.00782E-11  1.56800E-11  3.01866E-13  3.44807E-13
  3.500E+00  9.32601E-04 -3.63640E-10  5.41887E-10 -1.01059E-11  1.50509E-11  7.56519E-13  2.77672E-13
  3.600E+00  9.86636E-04 -3.54030E-10  5.05974E-10 -1.01204E-11  1.44556E-11  9.08863E-13  1.42980E-13
  3.700E+00  1.04219E-03 -3.44548E-10  4.73068E-10 -1.01235E-11  1.38915E-11  7.55707E-13  7.38338E-15
  3.800E+00  1.09927E-03 -3.35233E-10  4.42858E-10 -1.01165E-11  1.33565E-11  3.86402E-13  1.26431E-13
  3.900E+00  1.15786E-03 -3.26112E-10  4.15069E-10 -1.01007E-11  1.28484E-11  5.36406E-14  1.86209E-13
  4.000E+00  1.21797E-03 -3.17206E-10  3.89461E-10 -1.00773E-11  1.23654E-11  4.18354E-13  1.80441E-13
  4.100E+00  1.27961E-03 -3.08528E-10  3.65823E-10 -1.00472E-11  1.19058E-11  6.04021E-13  1.22690E-13
  4.200E+00  1.34276E-03 -3.00088E-10  3.43967E-10 -1.00112E-11  1.14681E-11  5.75761E-13  3.92445E-14
  4.300E+00  1.40743E-03 -2.91890E-10  3.23727E-10 -9.97006E-12  1.10508E-11  3.69956E-13  4.09659E-14
  4.400E+00  1.47362E-03 -2.83936E-10  3.04956E-10 -9.92447E-12  1.06526E-11  7.27576E-14  9.51696E-14
  4.500E+00  1.54133E-03 -2.76227E-10  2.87522E-10 -9.87497E-12  1.02724E-11  2.10872E-13  1.12734E-13
  4.600E+00  1.61056E-03 -2.68760E-10  2.71309E-10 -9.82207E-12  9.90899E-12  3.94373E-13  9.40521E-14
  4.700E+00  1.68131E-03 -2.61531E-10  2.56210E-10 -9.76622E-12  9.56143E-12  4.31746E-13  5.12444E-14
  4.800E+00  1.75357E-03 -2.54537E-10  2.42131E-10 -9.70782E-12  9.22875E-12  3.27660E-13  1.42285E-16
  4.900E+00  1.82735E-03 -2.47772E-10  2.28989E-10 -9.64721E-12  8.91011E-12  1.32165E-13  4.24267E-14
  5.000E+00  1.90265E-03 -2.41230E-10  2.16707E-10 -9.58472E-12  8.60470E-12  8.28096E-14  6.59776E-14
  5.100E+00  1.97947E-03 -2.34904E-10  2.05215E-10 -9.52061E-12  8.31179E-12  2.48125E-13  6.70094E-14
  5.200E+00  2.05780E-03 -2.28789E-10  1.94452E-10 -9.45515E-12  8.03068E-12  3.16507E-13  4.80922E-14
  5.300E+00  2.13765E-03 -2.22878E-10  1.84361E-10 -9.38854E-12  7.76074E-12  2.76811E-13  1.83637E-14
  5.400E+00  2.21902E-03 -2.17164E-10  1.74891E-10 -9.32099E-12  7.50138E-12  1.53847E-13  1.27537E-14
  5.500E+00  2.30190E-03 -2.11641E-10  1.65995E-10 -9.25268E-12  7.25203E-12  5.11063E-15  3.51300E-14
  5.600E+00  2.38630E-03 -2.06301E-10  1.57631E-10 -9.18376E-12  7.01220E-12  1.45525E-13  4.45596E-14
  5.700E+00  2.47222E-03 -2.01138E-10  1.49760E-10 -9.11437E-12  6.78138E-12  2.25372E-13  3.94718E-14
  5.800E+00  2.55965E-03 -1.96146E-10  1.42347E-10 -9.04464E-12  6.55913E-12  2.24947E-13  2.36884E-14
  5.900E+00  2.64859E-03 -1.91318E-10  1.35359E-10 -8.97468E-12  6.34503E-12  1.53359E-13  3.54810E-15
  6.000E+00  2.73905E-03 -1.86649E-10  1.28768E-10 -8.90460E-12  6.13869E-12  4.03446E-14  1.47963E-14
